Store,Date,Gross Commissions,Commissions Percentage Tier 1,Commissions Tier 1,Commissions Percentage Tier 2,Commissions Tier 2,Total Commissions,Tax Preparation Revenue,Number of Tax Returns,Royalty Per Return,Tax Royalties,Net Tax Revenue,Total Revenue,Hourly Wages,Overtime,Bonus & Commissions,Payroll Taxes - ER,Workers Comp Insurance,Payroll Processing Fees,Policy Manager,Licenses and Permits,Rating Software,Motor Vehicle Reports,Loan Due From Franchisee,Minimum Royalty Fee,Servicing Fee,Trade Shows,Trust Acctg - A/R,Telephone,Postage,Television/Radio,Licenses & Permits,Trust Acct Shortage/Overage,Internet,On Hold Recording,Scanning Violation Penalty,Deposit Violation Penalty,Bad Debts,Print,Reimbursed Fees - Other,Gas,D&S Memberships,E&O Insurance,Rent,Supplies,Building/Office,Referral Fees,Small Equip Purchases Under$500,Small FF&E Under$500,Legal Fees,CAM Charges,Cell Phone,Security,Electricity,Accounting Violation Penalty,Advertising,DOI Appointment Fees,Notes,DOI License Fee,Entrepreneur Magazine,Franchise Gator Leads,Franchise Guide Supplies,Franchise Times Magazine,Leads,SEO (Search Engine Optimization),Renewals,Tax Software,Other Transactions,Previous Unpaid Balance,Total Deductions,Balance Due To/(From) Franchise,Email,Email 2,Email 3,Email 4,Email 5,Email 6
CA056,30-Jun-18,"$28,811.39",85.00%,"$11,739.68",80.00%,"$12,000.00","$23,739.68",$372.00,6,$30.00,-$180.00,$192.00,"$23,931.68",,,,,,,$200.00,,,,,,,,$676.04,,,,,,,,$50.00,$100.00,,,,,,,,,,,,,,,,,,$120.00,"$1,200.00",,,,,,,,,,,,,,"$2,346.04","$21,585.64",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA057,30-Jun-18,"$12,749.27",80.00%,"$10,199.42",,,"$10,199.42",$250.00,1,$30.00,-$30.00,$220.00,"$10,419.42",,,,,,,$200.00,,,$25.63,,,,,$74.80,,,,,-$5.00,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$90.00,"$1,210.47",,,,,,,,,,,,,,"$1,670.90","$8,748.52",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA058,30-Jun-18,"$8,122.75",80.00%,"$6,498.20",,,"$6,498.20",$0.00,0,$0.00,$0.00,$0.00,"$6,498.20",,,,,,,$200.00,,,,,,,,,,,,,-$535.74,,,$25.00,,,,,,,,,,,,,,,,,,,$10.00,"$1,210.47",,,,,,,,,,,,,,$909.73,"$5,588.47",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA059,30-Jun-18,"$22,788.94",85.00%,"$6,620.60",80.00%,"$12,000.00","$18,620.60",$200.00,1,$30.00,-$30.00,$170.00,"$18,790.60",,,,,,,$200.00,,,,,,,,$199.45,,,,,-$654.00,,,,$150.00,,,,,,,,,,,,,,,,,,$50.00,"$1,210.47",,,,,,,,,,,,,,"$1,155.92","$17,634.68",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA060,30-Jun-18,"$16,053.77",85.00%,$895.70,80.00%,"$12,000.00","$12,895.70",$0.00,4,$30.00,-$120.00,-$120.00,"$12,775.70",,,,,,,$200.00,,,,,,,,,,,,,-$4.00,,,,,,,,,,,,,,,,,,,,,,$10.00,"$1,253.57",,,,,,,,,,,,,,"$1,459.57","$11,316.13",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA061,30-Jun-18,"$7,697.36",80.00%,"$6,157.89",,,"$6,157.89",$0.00,0,$0.00,$0.00,$0.00,"$6,157.89",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,"$1,253.57",,,,,,,,,,,,,,"$1,463.57","$4,694.32",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA062,30-Jun-18,"$5,077.77",80.00%,"$4,062.22",,,"$4,062.22",$0.00,0,$0.00,$0.00,$0.00,"$4,062.22",,,,,,,$200.00,,,,,,,,,,,,,-$476.31,,,,$50.00,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,,,,,$983.69,"$3,078.53",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA065,30-Jun-18,"$15,592.97",80.00%,$474.38,75.00%,"$11,250.00","$11,724.38",$680.00,1,$30.00,-$30.00,$650.00,"$12,374.38",,,,,,,$200.00,,,,,,,,$390.11,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$50.00,"$1,481.81",,,,,,,,,,,,,,"$2,146.92","$10,227.46",fiestaca065@fiestainsurance.com,fiestaca025@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA066,30-Jun-18,"$9,240.87",80.00%,"$7,392.70",,,"$7,392.70",$207.00,0,$0.00,$0.00,$207.00,"$7,599.70",,,,,,,$200.00,,,,,,,,$0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,"$1,428.25",,,,,,,,,,,,,,"$1,658.34","$5,941.36",fiestaca050@fiestainsurance.com,fiestaca050@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA067,30-Jun-18,"$5,114.57",80.00%,"$4,091.66",,,"$4,091.66",$0.00,0,$0.00,$0.00,$0.00,"$4,091.66",,,,,,,$200.00,,,,,,,,$0.27,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$20.00,"$1,357.68",,,,,,,,,,,,,,"$1,627.95","$2,463.71",fiestaca050@fiestainsurance.com,fiestaca050@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA068,30-Jun-18,"$8,034.86",80.00%,"$6,427.89",,,"$6,427.89",$65.15,0,$0.00,$0.00,$65.15,"$6,493.04",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,288.17",,,,,,,,,,,,,,"$1,508.17","$4,984.87",fiestaca050@fiestainsurance.com,fiestaca050@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA069,30-Jun-18,"$6,131.57",77.50%,"$4,751.97",,,"$4,751.97",$0.00,0,$0.00,$0.00,$0.00,"$4,751.97",,,,,,,$200.00,,,,,,,,$0.60,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$40.00,"$1,200.00",,,,,,,,,,,,,,"$1,465.60","$3,286.37",fiestaca031@fiestainsurance.com,fiestaca031@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA070,30-Jun-18,"$1,615.04",80.00%,"$1,292.03",,,"$1,292.03",$0.00,0,$0.00,$0.00,$0.00,"$1,292.03",,,,,,,$200.00,,,,"$1,415.33",,,,,,,,,-$231.87,,,,$50.00,,,,,,,,,,,,,,,,,,$10.00,$653.58,,,,,,,,,,,,,,"$2,097.04",-$805.01,fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA071,30-Jun-18,"$1,505.34",75.00%,"$1,129.01",,,"$1,129.01",$0.00,0,$0.00,$0.00,$0.00,"$1,129.01",,,,,,,$200.00,,,,,,,,,,,,,-$586.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-$386.83,"$1,515.84",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA072,30-Jun-18,"$10,764.00",75.00%,"$8,073.00",,,"$8,073.00",$0.00,0,$0.00,$0.00,$0.00,"$8,073.00",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$1,900.00","$6,173.00",fiestaca072@fiestainsurance.com,fiestaca072@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA074,30-Jun-18,"$16,155.38",85.00%,$982.07,80.00%,"$12,000.00","$12,982.07",$0.00,1,$30.00,-$30.00,-$30.00,"$12,952.07",,,,,,,$200.00,,,$16.31,,,,,$311.98,,,,,,,,$25.00,,,,,,,,,,,,,,$700.00,,,,,$100.00,"$1,481.81",,,,,,,,,,,,,,"$2,835.10","$10,116.97",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA075,30-Jun-18,"$4,112.25",80.00%,"$3,289.80",,,"$3,289.80",$100.00,0,$0.00,$0.00,$100.00,"$3,389.80",,,,,,,$200.00,,,,,,,,$6.55,,,,,-$19.76,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$20.00,"$1,411.25",,,,,,,,,,,,,,"$1,693.04","$1,696.76",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA076,30-Jun-18,"$14,032.80",80.00%,"$11,226.24",,,"$11,226.24",$0.00,0,$0.00,$0.00,$0.00,"$11,226.24",,,,,,,$200.00,,,,,,,,$736.81,,,,,,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$170.00,"$1,200.00",,,,,,,,,,,,,,"$2,431.81","$8,794.43",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA078,30-Jun-18,"$5,084.57",75.00%,"$3,813.43",,,"$3,813.43",$0.00,-7,$30.00,$210.00,$210.00,"$4,023.43",,,,,,,$200.00,,,$9.32,,,,,$149.32,,,,,,,,$75.00,,,,,,,,,,,,,,,,,,,$70.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$2,203.64","$1,819.79",fiestaca078@fiestainsurance.com,fiestaca078@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA079,30-Jun-18,"$8,594.74",80.00%,"$6,875.79",,,"$6,875.79",$120.00,0,$0.00,$0.00,$120.00,"$6,995.79",,,,,,,$200.00,,,,,,,,,,,,,-$8.11,,,$125.00,$150.00,,,,,,,,,,,,,,,,,,$170.00,"$1,200.00",,,,,,,,,,,,,,"$1,836.89","$5,158.90",fiestaca082@fiestainsurance.com,fiestaca082@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA080,30-Jun-18,"$4,997.70",80.00%,"$3,998.16",,,"$3,998.16",$0.00,1,$30.00,-$30.00,-$30.00,"$3,968.16",,,,,,,$200.00,,,,,,,,$505.03,,,,,$0.06,,,,$100.00,,,,,,,,,,,,,,,,,,$130.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,,"$4,135.09",-$166.93,fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA082,30-Jun-18,"$11,555.19",80.00%,"$9,244.15",,,"$9,244.15",$0.00,0,$0.00,$0.00,$0.00,"$9,244.15",,,,,,,$200.00,,,,,,,,$380.98,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$60.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$2,365.98","$6,878.17",fiestaca082@fiestainsurance.com,fiestaca082@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA083,30-Jun-18,"$18,888.26",82.50%,"$3,207.81",77.50%,"$11,625.00","$14,832.81",$192.00,4,$30.00,-$120.00,$72.00,"$14,904.81",,,,,,,$200.00,,,,,,,,$723.76,,,,,,,,$100.00,,,,,,,,,,,,,,,,,,,$200.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,"$2,000.00",,$500.00,,"$4,923.76","$9,981.05",fiestaca083@fiestainsurance.com,fiestaca083@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA085,30-Jun-18,"$6,608.47",80.00%,"$5,286.78",,,"$5,286.78",$200.00,5,$30.00,-$150.00,$50.00,"$5,336.78",,,,,,,$200.00,,,$79.22,,,,,$109.92,,,,$29.00,,,,,,,,,,,,,,,,,,,,,,,$150.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,,"$3,768.14","$1,568.64",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA088,30-Jun-18,"$9,609.78",77.50%,"$7,447.58",,,"$7,447.58",$340.00,1,$30.00,-$30.00,$310.00,"$7,757.58",,,,,,,$200.00,,,,,,,,$24.21,,,,,$1.99,,,,$100.00,,,,,,,,,,,,,,,,,,$50.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,,"$3,576.20","$4,181.38",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA089,30-Jun-18,"$19,334.39",85.00%,"$3,684.23",80.00%,"$12,000.00","$15,684.23",$130.05,0,$0.00,$0.00,$130.05,"$15,814.28",,,,,,,$200.00,,,$46.60,,,,,"$1,676.84",,,,,$0.07,,,,$50.00,,,,,,,,,,,,,,,,,,$170.00,"$1,760.47",,,,,,,,,,"$2,000.00",,,,"$5,903.98","$9,910.30",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA090,30-Jun-18,"$22,168.37",85.00%,"$6,093.11",80.00%,"$12,000.00","$18,093.11",$250.00,3,$30.00,-$90.00,$160.00,"$18,253.11",,,,,,,$200.00,,,,,,,,$678.88,,,,,$0.08,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$190.00,"$1,210.47",,,,,,,,,,"$2,000.00",,,,"$4,404.43","$13,848.68",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA091,30-Jun-18,"$16,142.66",85.00%,$971.26,80.00%,"$12,000.00","$12,971.26",$0.00,0,$0.00,$0.00,$0.00,"$12,971.26",,,,,,,$200.00,,,,,,,,$0.41,,,,,-$387.59,,,,,,,,,,,,,,,,,,,,,,$70.00,"$1,210.47",,,,,,,,,,"$2,000.00",,,,"$3,093.29","$9,877.97",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA093,30-Jun-18,"$7,987.26",80.00%,"$6,389.81",,,"$6,389.81",$0.00,0,$0.00,$0.00,$0.00,"$6,389.81",,,,,,,$200.00,,,,,,,,$115.00,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,,"$1,535.00","$4,854.81",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA095,30-Jun-18,"$8,823.39",75.00%,"$6,617.54",,,"$6,617.54",$0.00,0,$0.00,$0.00,$0.00,"$6,617.54",,,,,,,$200.00,,,,,,,,"$1,646.83",,,,,-$205.64,,,,,,,,,,,,,,,,,,,,,,$90.00,"$1,357.68",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,"$1,028.31","$3,588.87","$2,000.36",fiestaca095@fiestainsurance.com,fiestaca095@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA096,30-Jun-18,"$7,939.29",75.00%,"$5,954.47",,,"$5,954.47",$0.00,0,$0.00,$0.00,$0.00,"$5,954.47",,,,,,,$200.00,,,,,,,,$711.33,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$80.00,"$1,200.00",,,,,,,,,,,,,,"$2,216.33","$3,738.14",fiestaca098@fiestainsurance.com,fiestaca098@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA098,30-Jun-18,"$11,161.99",75.00%,"$8,371.49",,,"$8,371.49",$0.00,0,$0.00,$0.00,$0.00,"$8,371.49",,,,,,,$200.00,,,,,,,,$91.43,,,,,-$0.10,,,,$50.00,,,,,,,,,,,,,,,,,,$80.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$2,121.33","$6,250.16",fiestaca098@fiestainsurance.com,fiestaca098@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA099,30-Jun-18,"$18,593.16",85.00%,"$3,054.19",80.00%,"$12,000.00","$15,054.19",$0.00,0,$0.00,$0.00,$0.00,"$15,054.19",,,,,,,$200.00,,,,,,,,$732.18,,,,,-$52.15,,,,,,,,,,,,,,,,,,,,,,$290.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$2,870.03","$12,184.16",fiestaca099@fiestainsurance.com,fiestaca099@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA102,30-Jun-18,"$8,230.59",80.00%,"$6,584.47",,,"$6,584.47",$0.00,2,$30.00,-$60.00,-$60.00,"$6,524.47",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,,"$1,400.00","$5,124.47",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA103,30-Jun-18,"$7,427.58",80.00%,"$5,942.06",,,"$5,942.06",$127.00,0,$0.00,$0.00,$127.00,"$6,069.06",,,,,,,$200.00,,,,,,,,$1.00,,,,,$169.47,,,,$50.00,,,,,,,,,,,,,,,,,,$100.00,"$1,200.00",,,,,,,,,,,,,,"$1,720.47","$4,348.59",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA104,30-Jun-18,"$24,333.09",85.00%,"$7,933.13",80.00%,"$12,000.00","$19,933.13",$0.00,2,$30.00,-$60.00,-$60.00,"$19,873.13",,,,,,,$200.00,,,$37.28,,,,,$72.19,,,,,,,,$75.00,,,,,,,,,,,,,,,,,,,$90.00,"$1,200.00",,,,,,,,,,,,,,"$1,674.47","$18,198.66",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA106,30-Jun-18,"$10,028.32",80.00%,"$8,022.66",,,"$8,022.66",$0.00,0,$0.00,$0.00,$0.00,"$8,022.66",,,,,,,$200.00,,,$32.62,"$1,572.59",,,,$411.02,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$30.00,"$1,268.75",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$4,064.98","$3,957.68",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA107,30-Jun-18,"$4,217.63",80.00%,"$3,374.10",,,"$3,374.10",$150.00,0,$0.00,$0.00,$150.00,"$3,524.10",,,,,,,$200.00,,,$46.60,,,,,$360.98,,,,,-$155.82,,,,,,,,,,,,,,,,,,,,,,$70.00,"$1,200.00",,,,,,,,,,,,,,"$1,721.76","$1,802.34",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA110,30-Jun-18,"$2,783.40",77.50%,"$2,157.14",,,"$2,157.14",$173.00,4,$30.00,-$120.00,$53.00,"$2,210.14",,,,,,,$200.00,,,,,,,,$330.00,,,,,-$17.58,,,,$100.00,,,,,,,,,,,,,,,,,,$30.00,"$1,200.00",,,,,,,,,,,,,,"$1,842.42",$367.72,fiestaca014@fiestainsurance.com,fiestaca083@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA113,30-Jun-18,"$9,448.53",80.00%,"$7,558.82",,,"$7,558.82",$200.00,0,$0.00,$0.00,$200.00,"$7,758.82",,,,,,,$200.00,,,$90.87,,,,,$320.16,,,,,,,,,,,,,,,,,,,,,,,,,,,$110.00,"$1,268.75",,,,,,,,,,,,,,"$1,989.78","$5,769.04",fiestaca023@fiestainsurance.com,tlagunas@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA114,30-Jun-18,"$5,429.94",80.00%,"$4,343.95",,,"$4,343.95",$197.00,2,$30.00,-$60.00,$137.00,"$4,480.95",,,,,,,$200.00,,,,,,,,$286.93,,,,,-$384.13,,,,$200.00,,,,,,,,,,,,,,,,,,$30.00,"$1,200.00",,,,,,,,,,,,,,"$1,532.80","$2,948.15",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA115,30-Jun-18,"$10,524.21",80.00%,"$8,419.37",,,"$8,419.37",$150.00,1,$30.00,-$30.00,$120.00,"$8,539.37",,,,,,,$200.00,,,$25.63,,,,,$121.32,,,,,,,,,,,,,,,,,,,,,,,,,,,$70.00,"$1,200.00",,,,,,,,,,,,,,"$1,616.95","$6,922.42",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA117,30-Jun-18,"$2,493.93",80.00%,"$1,995.14",,,"$1,995.14",$0.00,0,$0.00,$0.00,$0.00,"$1,995.14",,,,,,,$200.00,,,,,,,,$219.47,,,,,$128.79,,,$75.00,$150.00,,,,,,,,,,,,,,,,,,$80.00,"$1,200.00",,,,,,,,,,,,,,"$2,053.26",-$58.12,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA118,30-Jun-18,"$12,690.37",80.00%,"$10,152.30",,,"$10,152.30",$0.00,3,$30.00,-$90.00,-$90.00,"$10,062.30",,,,,,,$200.00,,,,,,,,$388.18,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,,"$1,808.18","$8,254.12",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA119,30-Jun-18,"$2,341.87",80.00%,"$1,873.50",,,"$1,873.50",$0.00,1,$30.00,-$30.00,-$30.00,"$1,843.50",,,,,,,$200.00,,,,,,,,$40.12,,,,,,,,,,,,,,,,,,,,,,,,,,,$50.00,"$1,200.00",,,,,,,,,,,,,,"$1,490.12",$353.38,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA120,30-Jun-18,"$5,942.96",80.00%,"$4,754.37",,,"$4,754.37",$0.00,0,$0.00,$0.00,$0.00,"$4,754.37",,,,,,,$200.00,,,,,,,,$517.65,,,,,-$109.10,,,,,,,,,,,,,,,,,,,,,,$80.00,"$1,200.00",,,,,,,,,,,,,,"$1,888.55","$2,865.82",fiestaca099@fiestainsurance.com,fiestaca099@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA122,30-Jun-18,"$4,048.36",80.00%,"$3,238.69",,,"$3,238.69",$0.00,0,$0.00,$0.00,$0.00,"$3,238.69",,,,,,,$200.00,,,,$619.88,,,,$115.55,,,,,,,,,,,,,,,,,,,,,,,,,,,$50.00,"$1,200.00",,,,,,,,,,,,,,"$2,185.43","$1,053.26",fiestaca099@fiestainsurance.com,fiestaca099@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA124,30-Jun-18,"$4,294.34",80.00%,"$3,435.47",,,"$3,435.47",$0.00,0,$0.00,$0.00,$0.00,"$3,435.47",,,,,,,$200.00,,,,,,,,,,,,,$63.97,,,,$100.00,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,,"$1,563.97","$1,871.50",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA126,30-Jun-18,"$5,774.79",75.00%,"$4,331.09",,,"$4,331.09",$0.00,0,$0.00,$0.00,$0.00,"$4,331.09",,,,,,,$200.00,,,,,,,,,,,,,-$0.40,,,,$50.00,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$1,959.60","$2,371.49",fiestaca126@fiestainsurance.com,fiestaca126@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA127,30-Jun-18,"$15,403.54",85.00%,$343.01,80.00%,"$12,000.00","$12,343.01",$0.00,0,$0.00,$0.00,$0.00,"$12,343.01",,,,,,,$200.00,,,,,,,,$411.67,,,,,-$0.50,,,,$100.00,,,,,,,,,,,,,,,,,,$40.00,"$1,200.00",,,,,,,,,,,,,,"$1,951.17","$10,391.84",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA128,30-Jun-18,"$7,870.35",80.00%,"$6,296.28",,,"$6,296.28",$0.00,0,$0.00,$0.00,$0.00,"$6,296.28",,,,,,,$200.00,,,,,,,,$472.27,,,,,-$230.63,,,,$50.00,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,,,,,"$1,701.64","$4,594.64",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
