Store,Date,Gross Commissions,Commissions Percentage Tier 1,Commissions Tier 1,Commissions Percentage Tier 2,Commissions Tier 2,Total Commissions,Tax Preparation Revenue,Number of Tax Returns,Royalty Per Return,Tax Royalties,Net Tax Revenue,Total Revenue,Hourly Wages,Overtime,Bonus & Commissions,Payroll Taxes - ER,Workers Comp Insurance,Payroll Processing Fees,Policy Manager,Licenses and Permits,Rating Software,Motor Vehicle Reports,Loan Due From Franchisee,Minimum Royalty Fee,Servicing Fee,Trade Shows,Trust Acctg - A/R,Telephone,Postage,Television/Radio,Licenses & Permits,Trust Acct Shortage/Overage,Internet,On Hold Recording,Scanning Violation Penalty,Deposit Violation Penalty,Bad Debts,Print,Reimbursed Fees - Other,Gas,D&S Memberships,E&O Insurance,Rent,Supplies,Building/Office,Referral Fees,Small Equip Purchases Under$500,Small FF&E Under$500,Legal Fees,CAM Charges,Cell Phone,Security,Electricity,Accounting Violation Penalty,Advertising,DOI Appointment Fees,Notes,DOI License Fee,Entrepreneur Magazine,Franchise Gator Leads,Franchise Guide Supplies,Franchise Times Magazine,Leads,SEO (Search Engine Optimization),Renewals,Tax Software & Services,Other Transactions,Previous Unpaid Balance,Total Deductions,Balance Due To/(From) Franchise,Email,Email 2,Email 3,Email 4,Email 5,
CA056,31-May-18,"$26,037.87",85.00%,"$9,382.19",80.00%,"$12,000.00","$21,382.19","$8,155.00",37,$30.00,"-$1,110.00","$7,045.00","$28,427.19",,,,,,,$200.00,,,,,,,,$727.07,,,,,-$8.00,,,,$100.00,,,,,,,,,,,,,,,,,,$170.00,"$1,200.00",,,,,,,,,,,,,,"$2,389.07","$26,038.12",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA057,31-May-18,"$10,175.54",80.00%,"$8,140.43",,,"$8,140.43","$18,843.20",66,$30.00,"-$1,980.00","$16,863.20","$25,003.63",,,,,,,$200.00,,,,,,,,$266.57,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$50.00,"$1,210.47",,,,,,,,,,,,,,"$1,752.04","$23,251.59",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA058,31-May-18,"$12,219.09",80.00%,"$9,775.27",,,"$9,775.27","$2,902.90",25,$30.00,-$750.00,"$2,152.90","$11,928.17",,,,,,,$200.00,,,$30.60,,,,,$92.01,,,,,"-$1,845.38",,,,$50.00,,,,,,,,,,,,,,,,,,$50.00,"$1,210.47",,,,,,,,,,,,,,-$212.30,"$12,140.47",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA059,31-May-18,"$23,975.21",85.00%,"$7,628.93",80.00%,"$12,000.00","$19,628.93","$4,107.65",29,$30.00,-$870.00,"$3,237.65","$22,866.58",,,,,,,$200.00,,,$25.50,,,,,$0.60,,,,$29.00,,,,,,,,,,,,,,,,,,,,,,,$50.00,"$1,210.47",,,,,,,,,,,,,,"$1,515.57","$21,351.01",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA060,31-May-18,"$13,078.76",80.00%,"$10,463.01",,,"$10,463.01",$937.55,76,$30.00,"-$2,280.00","-$1,342.45","$9,120.56",,,,,,,$200.00,,,,"$1,900.00",,,,$161.08,,,,,-$686.85,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$50.00,"$1,200.00",,,,,,,,,,,,,,"$2,949.23","$6,171.33",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA061,31-May-18,"$4,983.65",80.00%,"$3,986.92",,,"$3,986.92",$797.00,52,$30.00,"-$1,560.00",-$763.00,"$3,223.92",,,,,,,$200.00,,,,"$1,300.00",,,,$803.37,,,,,"-$1,593.16",,,,,,,,,,,,,,,,,,,,,,$90.00,"$1,200.00",,,,,,,,,,,,,,"$2,000.21","$1,223.71",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA062,31-May-18,"$3,103.76",80.00%,"$2,483.01",,,"$2,483.01",$171.15,2,$30.00,-$60.00,$111.15,"$2,594.16",,,,,,,$200.00,,,,$50.00,,,,$152.68,,,,,-$967.15,,,,$100.00,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,,$755.53,"$1,838.63",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA065,31-May-18,"$19,599.87",80.00%,"$3,679.90",75.00%,"$11,250.00","$14,929.90","$9,692.05",111,$30.00,"-$3,330.00","$6,362.05","$21,291.95",,,,,,,$200.00,,,,"$2,634.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$100.00,"$1,489.79",,,,,,,,,,,,,,"$4,424.00","$16,867.95",fiestaca065@fiestainsurance.com,fiestaca025@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA066,31-May-18,"$12,521.97",80.00%,"$10,017.58",,,"$10,017.58","$2,239.36",33,$30.00,-$990.00,"$1,249.36","$11,266.94",,,,,,,$200.00,,,$33.15,$825.00,,,,$354.98,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$80.00,"$1,489.78",,,,,,,,,,,,,,"$3,032.91","$8,234.03",fiestaca050@fiestainsurance.com,fiestaca050@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA067,31-May-18,"$6,367.70",80.00%,"$5,094.16",,,"$5,094.16","$1,141.10",23,$30.00,-$690.00,$451.10,"$5,545.26",,,,,,,$200.00,,,$35.70,$575.00,,,,$0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,$50.00,"$1,419.21",,,,,,,,,,,,,,"$2,280.34","$3,264.92",fiestaca050@fiestainsurance.com,fiestaca050@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA068,31-May-18,"$7,510.97",80.00%,"$6,008.78",,,"$6,008.78","$2,743.00",18,$30.00,-$540.00,"$2,203.00","$8,211.78",,,,,,,$200.00,,,,$450.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$60.00,"$1,234.60",,,,,,,,,,,,,,"$1,944.60","$6,267.18",fiestaca050@fiestainsurance.com,fiestaca050@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA069,31-May-18,"$6,683.70",77.50%,"$5,179.87",,,"$5,179.87",$0.00,0,$0.00,$0.00,$0.00,"$5,179.87",,,,,,,$200.00,,,$17.85,,,,,$1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,$50.00,"$1,200.00",,,,,,,,,,,,,,"$1,468.89","$3,710.98",fiestaca031@fiestainsurance.com,fiestaca031@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA070,31-May-18,"$3,188.02",80.00%,"$2,550.42",,,"$2,550.42",$654.00,18,$30.00,-$540.00,$114.00,"$2,664.42",,,,,,,$200.00,,,,"$1,865.33",,,,$171.11,,,,,-$774.36,,,,$50.00,,,,,,,,,,,,,,,,,,$20.00,,,,,,,,,,,"$2,000.00",,,,"$3,532.08",-$867.66,fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA071,31-May-18,,75.00%,$0.00,,,$0.00,$0.00,0,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,$29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,000.00",,,,"$2,029.00","-$2,029.00",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA072,31-May-18,"$18,909.41",80.00%,"$3,127.53",75.00%,"$11,250.00","$14,377.53","$2,756.00",49,$30.00,"-$1,470.00","$1,286.00","$15,663.53",,,,,,,$200.00,,,,,,,,,,,,,-$15.00,,,,,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,,,,,"$1,395.00","$14,268.53",fiestaca072@fiestainsurance.com,fiestaca072@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA074,31-May-18,"$22,466.28",85.00%,"$6,346.34",80.00%,"$12,000.00","$18,346.34","$5,321.00",61,$30.00,"-$1,830.00","$3,491.00","$21,837.34",,,,,,,$200.00,,,$25.50,,,,,$176.52,,,,,$0.99,,,,$50.00,,,,,,,,,,,,,,,,,,$100.00,"$1,489.78",,,,,,,,,,"$2,000.00",,,,"$4,042.79","$17,794.55",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA075,31-May-18,"$3,277.57",80.00%,"$2,622.06",,,"$2,622.06",$874.00,8,$30.00,-$240.00,$634.00,"$3,256.06",,,,,,,$200.00,,,,,,,,$254.79,,,,,$336.62,,,,$150.00,,,"$1,080.00",,,,,,,,,,,,,,,$60.00,"$1,419.21",,,,,,,,,,"$2,000.00",,,,"$5,500.62","-$2,244.56",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA076,31-May-18,"$16,369.94",85.00%,"$1,164.45",80.00%,"$12,000.00","$13,164.45","$1,773.95",14,$30.00,-$420.00,"$1,353.95","$14,518.40",,,,,,,$200.00,,,$15.30,,,,,"$1,230.48",,,,,,,,,,,,,,,,,,,,,,,,,,,$170.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,,"$4,815.78","$9,702.62",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA078,31-May-18,"$8,182.05",75.00%,"$6,136.54",,,"$6,136.54",$610.00,8,$30.00,-$240.00,$370.00,"$6,506.54",,,,,,,$200.00,,,,,,,,$9.31,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$60.00,"$1,200.00",,,,,,,,,,,,,,"$1,519.31","$4,987.23",fiestaca078@fiestainsurance.com,fiestaca078@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA079,31-May-18,"$13,876.76",80.00%,"$11,101.41",,,"$11,101.41","$1,232.00",32,$30.00,-$960.00,$272.00,"$11,373.41",,,,,,,$200.00,,,,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,"$1,200.00",,,,,,,,,,,,,,"$2,240.00","$9,133.41",fiestaca082@fiestainsurance.com,fiestaca082@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA080,31-May-18,"$7,953.81",80.00%,"$6,363.05",,,"$6,363.05","$2,389.00",23,$30.00,-$690.00,"$1,699.00","$8,062.05",,,,,,,$200.00,,,,,,,,$77.00,,,,,-$1.00,,,,$50.00,,,,,,,,,,,,,,,,,,$40.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,,"$3,566.00","$4,496.05",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA082,31-May-18,"$16,160.73",85.00%,$986.62,80.00%,"$12,000.00","$12,986.62",$500.05,23,$30.00,-$690.00,-$189.95,"$12,796.67",,,,,,,$200.00,,,,$575.00,,,,$2.00,,,,,,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,,,,,"$2,062.00","$10,734.67",fiestaca082@fiestainsurance.com,fiestaca082@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA083,31-May-18,"$22,927.42",82.50%,"$6,540.12",77.50%,"$11,625.00","$18,165.12","$2,414.00",23,$30.00,-$690.00,"$1,724.00","$19,889.12",,,,,,,$200.00,,,$28.05,,,,,$103.67,,,,,-$0.01,,,,$50.00,,,,,,,,,,,,,,,,,,$180.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,,"$3,761.71","$16,127.41",fiestaca083@fiestainsurance.com,fiestaca083@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA085,31-May-18,"$10,008.15",80.00%,"$8,006.52",,,"$8,006.52","$5,399.60",31,$30.00,-$930.00,"$4,469.60","$12,476.12",,,,,,,$200.00,,,$66.30,$775.00,,,,"$1,004.61",,,,$29.00,-$443.47,,,,,,,,,,,,,,,,,,,,,,$200.00,"$1,200.00",,,,,,,,,,,,,,"$3,031.44","$9,444.68",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA088,31-May-18,"$14,469.21",77.50%,"$11,213.64",,,"$11,213.64",$850.00,17,$30.00,-$510.00,$340.00,"$11,553.64",,,,,,,$200.00,,,,,,,,$85.42,,,,,,,,,,,,,,,,,,,,,,,,,,,$50.00,"$1,200.00",,,,,,,,,,,,,,"$1,535.42","$10,018.22",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA089,31-May-18,"$22,155.06",85.00%,"$6,081.80",80.00%,"$12,000.00","$18,081.80","$3,538.05",18,$30.00,-$540.00,"$2,998.05","$21,079.85",,,,,,,$200.00,,,$145.35,,,,,$201.08,,,,,,,,,,,,,,,,,,,,,,$600.00,,,,,$110.00,"$1,760.47",,,,,,,,,,,,,,"$3,016.90","$18,062.95",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA090,31-May-18,"$31,691.10",85.00%,"$14,187.44",80.00%,"$12,000.00","$26,187.44","$8,113.10",66,$30.00,"-$1,980.00","$6,133.10","$32,320.54",,,,,,,$200.00,,,$12.75,,,,,$264.10,,,,,,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$110.00,"$1,210.47",,,,,,,,,,,,,,"$1,922.32","$30,398.22",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA091,31-May-18,"$12,472.84",80.00%,"$9,978.27",,,"$9,978.27","$6,012.85",28,$30.00,-$840.00,"$5,172.85","$15,151.12",,,,,,,$200.00,,,,,,,,$678.00,,,,,-$715.65,,,,$100.00,,,,,,,,,,,,,,,,,,$160.00,"$1,210.47",,,,,,,,,,,,,,"$1,632.82","$13,518.30",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA093,31-May-18,"$8,738.54",80.00%,"$6,990.83",,,"$6,990.83","$11,667.35",44,$30.00,"-$1,320.00","$10,347.35","$17,338.18",,,,,,,$200.00,,,,,,,,$253.78,,,,,,,,,,,,,,,,,,,,,,,,,,,$60.00,"$1,200.00",,,,,,,,,,,,,,"$1,713.78","$15,624.40",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA095,31-May-18,"$10,058.52",75.00%,"$7,543.89",,,"$7,543.89","$1,769.00",19,$30.00,-$570.00,"$1,199.00","$8,742.89",,,,,,,$200.00,,,,,,,,"$1,783.12",,,,,$134.71,,,$125.00,$650.00,,,,,,,,,,,,,,,,,,$250.00,"$1,419.21",,,,,,,,,,,,,,"$4,562.04","$4,180.85",fiestaca095@fiestainsurance.com,fiestaca095@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA096,31-May-18,"$16,304.17",80.00%,"$1,043.34",75.00%,"$11,250.00","$12,293.34","$1,209.00",35,$30.00,"-$1,050.00",$159.00,"$12,452.34",,,,,,,$200.00,,,,,,,,$0.44,,,,,,,,,$100.00,,,,,,,,,,,,,,,,,,$30.00,"$1,200.00",,,,,,,,,,,,,,"$1,530.44","$10,921.90",fiestaca096@fiestainsurance.com,fiestaca096@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA098,31-May-18,"$10,458.11",75.00%,"$7,843.58",,,"$7,843.58","$1,439.95",64,$30.00,"-$1,920.00",-$480.05,"$7,363.53",,,,,,,$200.00,,,,,,,,$334.88,,,,,,,,,,,,,,,,,,,,,,,,,,,$60.00,"$1,200.00",,,,,,,,,,,,,,"$1,794.88","$5,568.65",fiestaca098@fiestainsurance.com,fiestaca098@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA099,31-May-18,"$37,570.09",85.00%,"$19,184.58",80.00%,"$12,000.00","$31,184.58",$0.00,0,$0.00,$0.00,$0.00,"$31,184.58",,,,,,,$200.00,,,,,,,,"$1,748.61",,,,,-$483.63,,,,$100.00,,,,,,,,,,,,,,,,,,$400.00,"$1,200.00",,,,,,,,,,,,,,"$3,164.98","$28,019.60",fiestaca099@fiestainsurance.com,fiestaca099@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA102,31-May-18,"$5,388.85",80.00%,"$4,311.08",,,"$4,311.08","$5,216.00",24,$30.00,-$720.00,"$4,496.00","$8,807.08",,,,,,,$200.00,,,,,,,,$243.00,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,"$1,200.00",,,,,,,,,,,,,,"$1,673.00","$7,134.08",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA103,31-May-18,"$4,662.15",80.00%,"$3,729.72",,,"$3,729.72","$1,771.00",18,$30.00,-$540.00,"$1,231.00","$4,960.72",,,,,,,$200.00,,,,,,,,"$1,049.58",,,,,"-$1,446.16",,,,,,,,,,,,,,,,,,,,,,$170.00,"$1,200.00",,,,,,,,,,,,,,"$1,173.42","$3,787.30",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA104,31-May-18,"$25,173.93",85.00%,"$8,647.84",80.00%,"$12,000.00","$20,647.84","$2,614.30",43,$30.00,"-$1,290.00","$1,324.30","$21,972.14",,,,,,,$200.00,,,,,,,,$664.55,,,,,"$3,718.35",,,,-$50.00,,,,,,,,,,,,,,,,,,$170.00,"$1,200.00",,,,,,,,,,,,,,"$5,902.90","$16,069.24",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA106,31-May-18,"$10,463.79",80.00%,"$8,371.03",,,"$8,371.03","$2,250.00",8,$30.00,-$240.00,"$2,010.00","$10,381.03",,,,,,,$200.00,,,$66.30,"$1,772.59",,,,"$1,200.74",,,,,-$226.16,,,,,,,,,,,,,,,,,,,,,,$50.00,"$1,268.75",,,,,,,,,,,,,,"$4,332.22","$6,048.81",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA107,31-May-18,"$5,670.82",80.00%,"$4,536.66",,,"$4,536.66",$250.00,4,$30.00,-$120.00,$130.00,"$4,666.66",,,,,,,$200.00,,,$12.75,$100.00,,,,$36.22,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$100.00,"$1,200.00",,,,,,,,,,,,,,"$1,698.97","$2,967.69",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA110,31-May-18,"$3,402.24",77.50%,"$2,636.74",,,"$2,636.74",$125.00,7,$30.00,-$210.00,-$85.00,"$2,551.74",,,,,,,$200.00,,,,,,,,,,,,,$9.25,,,,$50.00,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,,"$1,459.25","$1,092.49",fiestaca014@fiestainsurance.com,fiestaca083@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA113,31-May-18,"$12,860.10",80.00%,"$10,288.08",,,"$10,288.08","$2,231.05",15,$30.00,-$450.00,"$1,781.05","$12,069.13",,,,,,,$200.00,,,$79.05,$375.00,,,,$823.53,,,,,-$363.36,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$160.00,"$1,268.75",,,,,,,,,,,,,,"$2,617.97","$9,451.16",fiestaca023@fiestainsurance.com,tlagunas@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA114,31-May-18,"$5,198.75",80.00%,"$4,159.00",,,"$4,159.00",$0.00,12,$30.00,-$360.00,-$360.00,"$3,799.00",,,,,,,$200.00,,,,,,,,$458.59,,,,,-$33.10,,,,,,,,,,,,,,,,,,,,,,$60.00,"$1,200.00",,,,,,,,,,,,,,"$1,885.49","$1,913.51",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA115,31-May-18,"$11,931.36",80.00%,"$9,545.09",,,"$9,545.09","$5,038.65",25,$30.00,-$750.00,"$4,288.65","$13,833.74",,,,,,,$200.00,,,,$625.00,,,,"$1,267.85",,,,,"-$1,263.76",,,,,,,,,,,,,,,,,,,,,,$120.00,"$1,200.00",,,,,,,,,,,,,,"$2,149.09","$11,684.65",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA117,31-May-18,"$3,332.07",80.00%,"$2,665.66",,,"$2,665.66",$85.00,14,$30.00,-$420.00,-$335.00,"$2,330.66",,,,,,,$200.00,,,,,,,,$153.98,,,,,-$793.18,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$130.00,"$1,200.00",,,,,,,,,,,,,,$965.80,"$1,364.86",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA118,31-May-18,"$14,811.80",80.00%,"$11,849.44",,,"$11,849.44","$4,853.41",32,$30.00,-$960.00,"$3,893.41","$15,742.85",,,,,,,$200.00,,,,,,,,$117.92,,,,,,,,,,,,,,,,,,,,,,,,,,,$70.00,"$1,200.00",,,,,,,,,,,,,,"$1,587.92","$14,154.93",fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA119,31-May-18,"$2,216.75",80.00%,"$1,773.40",,,"$1,773.40","$1,979.95",32,$30.00,-$960.00,"$1,019.95","$2,793.35",,,,,,,$200.00,,,,,,,,$317.02,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$140.00,"$1,200.00",,,,,,,,,,,,,,"$1,907.02",$886.33,fiestaca030@fiestainsurance.com,fiestaca030@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA120,31-May-18,"$5,263.96",80.00%,"$4,211.17",,,"$4,211.17",$0.00,0,$0.00,$0.00,$0.00,"$4,211.17",,,,,,,$200.00,,,,,,,,$121.49,,,,,-$248.39,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$90.00,"$1,200.00",,,,,,,,,,,,,,"$1,488.10","$2,723.07",fiestaca099@fiestainsurance.com,fiestaca099@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA122,31-May-18,"$2,864.09",80.00%,"$2,291.27",,,"$2,291.27",$0.00,0,$0.00,$0.00,$0.00,"$2,291.27",,,,,,,$200.00,,,,$619.88,,,,$511.89,,,,,-$342.33,,,$25.00,,,,,,,,,,,,,,,,,,,$70.00,"$1,200.00",,,,,,,,,,,,,,"$2,284.44",$6.83,fiestaca099@fiestainsurance.com,fiestaca099@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA124,31-May-18,"$5,648.90",80.00%,"$4,519.12",,,"$4,519.12",$0.00,8,$30.00,-$240.00,-$240.00,"$4,279.12",,,,,,,$200.00,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,,"$1,600.00","$2,679.12",fiestaca014@fiestainsurance.com,fiestaca014@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA126,31-May-18,"$2,860.47",75.00%,"$2,145.35",,,"$2,145.35",$549.00,32,$30.00,-$960.00,-$411.00,"$1,734.35",,,,,,,$200.00,,,,,,,,$0.10,,,,,-$197.07,,,$25.00,,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,,,,,"$1,238.03",$496.32,fiestaca126@fiestainsurance.com,fiestaca126@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA127,31-May-18,"$10,641.59",80.00%,"$8,513.27",,,"$8,513.27","$3,261.00",19,$30.00,-$570.00,"$2,691.00","$11,204.27",,,,,,,$200.00,,,$15.30,,,,,$0.31,,,,,-$10.22,,,,$50.00,,,,,,,,,,,,,,,,,,$30.00,"$1,200.00",,,,,,,,,,,,,,"$1,485.39","$9,718.88",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA128,31-May-18,"$8,421.88",80.00%,"$6,737.50",,,"$6,737.50","$1,674.10",11,$30.00,-$330.00,"$1,344.10","$8,081.60",,,,,,,$200.00,,,,,,,,$6.03,,,,$29.00,-$183.55,,,,$50.00,,,,,,,,,,,,,,,,,,$60.00,"$1,200.00",,,,,,,,,,,,,,"$1,361.48","$6,720.12",fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
